Focusing on dataset from 201124 to 201127 (each bird wore each headpack once),,,,,,,,,,,
"For determining if usable, I check if they properly land/takeoff on each perch (cant properly check from end2ini when there are obstacles; properly: both legs on perch)",,,,,,,,,,,
"For determining TO frame: visually checking in Nexus, selecting the frame when the head markers dip before jumping off the perch",,,,,,,,,,,
"For determining L frame: visually checking in Nexus, selecting the frame when the head markers dip first time on landing perch. *some of the frame_L_2 seem more like TO frame towards the falconer. It seems it is trials with no food drectly on the perch",,,,,,,,,,,
,,Way around obstacles: INI2END,Way around obstacles: END2INI,,,,,,,,
Trial name,Usable flight INI2END? ,(around-L / around-R / over / other),(around-L / around-R / over / other),Usable flight END2INI*?,Usable BOTH LEGS?,Headpack,Obstacles,frame_TO_1,frame_L_1,frame_TO_2,frame_L_2
201125_Ruby02,yes,,,yes,yes,4m,no,,,,
201125_Ruby03,"yes* (cant see ini perch in ref video, but in mocap seems ok)",,,"yes* (cant see ini perch in ref video, but in mocap seems ok)",no,4m,no,,,,
201125_Ruby04,yes,,,yes,yes,4m,no,,,,
201125_Ruby05,yes,,,yes,yes,4m,no,,,,
201125_Ruby06,yes,,,yes,yes,4m,no,,,,
201125_Ruby07,yes,,,yes,yes,4m,no,,,,
201125_Ruby08,yes,,,yes,yes,4m,no,,,,
201125_Ruby09,yes,around-R,around-L,yes,yes,4m,yes,,,,
201125_Ruby10,yes,over,over,yes,yes,4m,yes,,,,
201125_Ruby11,yes,around-L,around-L,yes,yes,4m,yes,,,,
201125_Ruby12,"yes* (cant see ini perch in ref video, but in mocap seems ok)",around-R,over,"yes* (cant see ini perch in ref video, but in mocap seems ok)",no,4m,yes,,,,
201125_Ruby13,yes,around-R,over,yes,yes,4m,yes,,,,
201125_Ruby14,"yes* (cant see ini perch in ref video, but in mocap seems ok)",around-R,over,"yes* (cant see ini perch in ref video, but in mocap seems ok)",no,4m,yes,,,,
201125_Ruby15,yes,around-R,over,yes,yes,4m,yes,,,,
